termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,amostra
uf_fe_43,0.9579248027076936,0.588247612353441,-0.19501933149672968,2.1108689369121167,0.10343203218650902,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_50,0.7989421646768282,0.5335652042095608,-0.2468264189776701,1.8447107483313265,0.13429816263404243,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_51,0.4293328686495281,0.5297221586037849,-0.6089034840267047,1.467569221325761,0.41766039276663613,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_52,1.179237132564942,1.0442274970535521,-0.8674111533264257,3.2258854184563095,0.25877492739002805,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_MACRO_CENTRO-OESTE,209.9106795742498,0.542872790190499,208.84666845728964,210.97469069120996,0.0,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_MACRO_NORDESTE,2.9663791751089463,1.1100534390607069,0.7907144136351332,5.142043936582759,0.00753366297193339,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_MACRO_NORTE,1.7226489429920604,1.4571384480168004,-1.133289935609458,4.578587821593579,0.23712094332073685,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_MACRO_SEM_REGIAO_SAUDE,1.034131099510996,0.5595352145114365,-0.06253776901331287,2.130799968035305,0.0645739023378464,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
uf_fe_MACRO_SUDESTE,2.0037386466035385,0.5654812069720793,0.895415847004023,3.112061446203054,0.0003949698708179191,OLS_delta_confirmatoria_587_10cursos_minimal,587,295,0.9326166097959141,1.1856899488926746,,confirmatoria_587_10cursos
const,-4.306383259460136e-15,3.691520040439924e-07,-7.235246370533928e-07,7.235246284406262e-07,0.99999999069219,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
