termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr,nota
cod_curso_13,-0.4896188037450529,0.4686845917323001,-1.4082237236492203,0.4289861161591145,0.29617741735055725,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_14,0.3002627293145163,0.3370866589076639,-0.36041498181344284,0.9609404404424755,0.37305886645463526,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_15,-0.00427312561440352,0.2969081218591727,-0.5862023511758115,0.5776560999470045,0.9885171775193938,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_16,-0.9988847765310315,0.5342613601538976,-2.0460178007640533,0.04824824770199043,0.06153165043339984,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_2,-0.20814113073067358,0.43385298221581425,-1.0584773504589662,0.6421950889976189,0.6314049035785898,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_3,-0.38318252521759877,0.36163910014473233,-1.091982136902748,0.3256170864675505,0.28933953294781123,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_5,-0.4281138758454576,0.36593350925910423,-1.1453303747296564,0.28910262303874107,0.2420321255151272,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
cod_curso_9,-0.18632994084461568,0.36380604623458773,-0.8993766888223214,0.5267168071330901,0.6085331948761852,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
estoque_baseline,1.0520974702507009,0.011746508478353814,1.029074736689033,1.0751202038123688,0.0,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
estoque_por_10k,0.01535281946257813,0.012822443028931835,-0.009778707067944948,0.04048434599310121,0.23117419550361618,OLS_estoque_6m_full_estrato_ivs_logpop_FE_cluster,587,295,0.9970822591607235,11.894378194207837,,,identico a OLS_delta_full por Frisch-Waugh-Lovell; ver nota em A5_tabela_03b
