co_ibge_6d,termo,coef_excluido,delta,dfbeta,n_excluido
317052,estrato_capital,0.22787983601404985,-0.0038985103818043876,-0.045320838004461766,2
315240,estrato_capital,0.22787983601405012,-0.00389851038180411,-0.04532083800445854,2
313980,estrato_capital,0.22787983601405015,-0.0038985103818040823,-0.045320838004458214,2
240060,estrato_interior_proximo_polo,0.12464723457408972,-0.001954727617452523,-0.04530425625707037,1
171820,estrato_metropolitano,0.2969792264983321,0.0027454278343989613,0.04527531667784212,5
220390,estrato_capital,0.23564537786531511,0.00386703146946088,0.04495489036109126,17
313520,estrato_interior_proximo_polo,0.12469531278890333,-0.0019066494026389047,-0.04418995892743153,7
210090,estrato_capital,0.227982175149625,-0.0037961712462292463,-0.04413112836393724,1
521040,estrato_interior_proximo_polo,0.12471530838768619,-0.0018866538038560532,-0.04372652569858482,1
110011,estrato_interior_proximo_polo,0.1284608702119847,0.0018589080204424735,0.04308346828710763,5
351050,estrato_metropolitano,0.29168440858247824,-0.002549390081454883,-0.04204242480060987,6
160030,estrato_metropolitano,0.2916973800046308,-0.0025364186593023197,-0.041828510874932834,8
231340,estrato_metropolitano,0.2917280837208566,-0.002505714943076498,-0.04132217067618745,7
220800,estrato_metropolitano,0.29174941116373043,-0.0024843875002026894,-0.040970456193678874,18
230190,estrato_metropolitano,0.29175461605442465,-0.002479182609508468,-0.04088462145728486,2
261000,estrato_interior_proximo_polo,0.12483965934243418,-0.001762302849108055,-0.04084447324819961,2
431720,estrato_interior_proximo_polo,0.12484050503401115,-0.0017614571575310933,-0.040824872856014514,7
520490,estrato_interior_proximo_polo,0.1283528444965076,0.0017508823049653677,0.04057978201765887,2
291080,estrato_metropolitano,0.2917777258481752,-0.002456072815757937,-0.04050351392376852,5
316070,estrato_capital,0.23521908136743286,0.003440734971578624,0.03999912197002468,3
520640,estrato_interior_proximo_polo,0.1248805247372391,-0.001721437454303143,-0.039897345729378926,1
