termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,familia_fdr
cod_curso_9,0.03227328775283369,0.11852006513310183,-0.2000217713533873,0.26456834685905467,0.7853895786590203,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
estoque_baseline,0.006807491921546187,0.003987919054070403,-0.0010086857976928428,0.014623669640785217,0.08781673473983714,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
estoque_por_10k,0.0003902242514049009,0.0026161670515420896,-0.004737368947157938,0.00551781744996774,0.881428355200473,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
estrato_capital,-0.40570329081060025,0.26088090507532247,-0.9170204690124448,0.10561388739124439,0.11991550486459163,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
estrato_interior_proximo_polo,0.03801831396194905,0.08966413269064945,-0.13772015681674438,0.21375678474064247,0.6715599432623764,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
estrato_metropolitano,0.03735035483247376,0.1578210295071008,-0.27197317900447693,0.3466738886694245,0.8129184550034017,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
ivs_2010,0.8660122464131584,0.5726578045421364,-0.2563764259552067,1.9884009187815237,0.13046562112540225,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
log_pop,0.06724713636338357,0.048310513742795345,-0.02743973064712263,0.16193400337388977,0.16392928530802164,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
uf_fe_12,-0.1038303509929567,0.14269821022726034,-0.3835137036967122,0.1758530017107988,0.46684503587195036,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
uf_fe_13,0.944973148097202,1.0078785461567472,-1.030432503160613,2.920378799355017,0.348457038706976,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
uf_fe_15,-0.13670240416508747,0.1576448279203274,-0.4456805892379435,0.1722757809077686,0.38585742430572223,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
uf_fe_17,0.03678738926919366,0.17378498579774085,-0.30382492394818317,0.3773997024865705,0.8323540727025438,OLS_entradas_full,587,295,0.9519502204180943,0.33049403747870526,,
