termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio,outcome_estagio
uf_fe_MA,0.22097896444522205,0.05724376647007566,0.10878324382445222,0.3331746850659919,0.00011324099672526228,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_MG,0.10697485507403535,0.04766727479899814,0.013548713226825257,0.20040099692124547,0.024819594100978247,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_MS,-0.07377017023797695,0.054071971407935175,-0.17974928677060947,0.03220894629465555,0.17247444797733513,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_MT,0.0340618100171259,0.049317853219906574,-0.06259940608872372,0.13072302612297554,0.48977997753513147,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_PA,0.10890839191750408,0.047325963130327435,0.016151208648391827,0.20166557518661632,0.02137807801523748,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_PI,0.08830557688057993,0.05335220116080153,-0.016262815890527138,0.192873969651687,0.09789528671414677,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_PR,-0.00036482505393702763,0.05121367969267401,-0.10074179276734843,0.10001214265947439,0.9943162487485058,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_RESTO,0.22447203311977554,0.07191388789024745,0.0835234028666394,0.3654206633729117,0.0017999316763332878,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_RJ,0.17791406103117224,0.08189812073683138,0.01739669398546978,0.3384314280768747,0.029826808457578458,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_RN,0.2972099315010627,0.07769887331901032,0.14492293815646232,0.44949692484566306,0.00013069189890000237,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_RO,0.09913853991222708,0.04036554334187972,0.02002352874575225,0.17825355107870192,0.01404857438864456,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_RS,0.025867388527191622,0.050821871561989466,-0.07374164936122812,0.12547642641561135,0.6107652452768704,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_SC,-0.03404580344870073,0.095790098882751,-0.22179094733442317,0.15369934043702171,0.722274291428884,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_SP,0.05674002546840064,0.05657553845481861,-0.0541459923090047,0.167626043245806,0.31590554789288183,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_TO,-0.042719374731503765,0.06215232539598658,-0.16453569406305163,0.07909694460004409,0.49187259919545767,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
