cnes,media_pre,ultimo_pre,desvio_pre,prop_zero_pre,media_070102_generico_pre,tendencia_pre,ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_cnes,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao,co_ibge_6d,ivs_2010,populacao_2010,macro_regiao_saude,log_pop_2010,propensao_pre,peso_sobreposicao,suporte_comum,limite_inferior_suporte,limite_superior_suporte,nivel,braco_municipal
2420015,4.576923076923077,5,0.6433087546786183,0.0,0.0,0.06871794871794873,420700,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL,420700,0.331,2252.0,,7.720017940432244,0.011305286456215447,0.011305286456215447,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2428393,24.73076923076923,41,8.407414310274913,0.0,0.0,0.918632478632479,261000,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,PE,NORDESTE,261000,0.395,15008.0,NORDESTE,9.616405300156314,0.10935998468679402,0.10935998468679402,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2436450,29.307692307692307,28,1.6916082470650406,0.0,0.0,-0.1285470085470086,420910,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL,420910,0.273,33141.0,SUL,10.408556639189738,0.04730288680761912,0.04730288680761912,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2463016,2.5384615384615383,3,1.4759612252567949,0.07692307692307693,0.0,0.14632478632478635,210005,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,MA,NORDESTE,210005,0.366,28576.0,NORDESTE,10.260357477464831,0.08115560609532782,0.08115560609532782,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2470748,3.6923076923076925,4,0.8375789285425352,0.0,0.0,0.0355555555555556,291750,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,BA,NORDESTE,291750,0.369,21305.0,NORDESTE,9.966744002171144,0.07554007480856888,0.07554007480856888,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2487438,8.153846153846153,8,1.7819608905317246,0.0,0.0,-0.06974358974358981,290070,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,BA,NORDESTE,290070,0.327,51902.0,NORDESTE,10.857131870951632,0.11392999206357796,0.11392999206357796,True,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2495228,0.0,0,0.0,1.0,0.0,0.0,110028,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RO,NORTE,110028,0.279,11990.0,NORTE,9.391911647379434,0.03553236178507866,0.03553236178507866,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2522411,9.538461538461538,13,0.85933784884732,0.0,0.0,0.08205128205128207,420290,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL,420290,0.168,6176.0,SUL,8.728587995695898,0.01101125499540732,0.01101125499540732,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2522691,38.76923076923077,40,0.908083357746074,0.0,0.0,0.008888888888888752,420820,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL,420820,0.188,12444.0,SUL,9.429074214801693,0.020832368471633476,0.020832368471633476,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
2537192,26.346153846153847,45,14.383163233982454,0.0,0.0,1.603760683760684,421820,24,medicina_intensiva,225150,generalizacao,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SC,SUL,421820,0.097,17332.0,,9.76036747794131,0.030950718988314557,0.030950718988314557,False,0.041809673815580276,0.16240305537309768,cnes_ofertante,
