ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_municipal,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
320530,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,4,False,ES,SUDESTE
330010,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,False,RJ,SUDESTE
330015,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RJ,SUDESTE
330023,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330030,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,2,False,RJ,SUDESTE
330040,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,5,True,RJ,SUDESTE
330070,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330090,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RJ,SUDESTE
330100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,5,0,15,True,RJ,SUDESTE
330130,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330150,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
330170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330180,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
330190,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330240,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330260,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330290,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330300,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,3,0,False,RJ,SUDESTE
330320,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,4,True,RJ,SUDESTE
330350,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330380,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,RJ,SUDESTE
330390,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330415,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330430,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330452,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330455,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,17,0,51,False,RJ,SUDESTE
330490,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,2,False,RJ,SUDESTE
330515,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,RJ,SUDESTE
330550,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
330620,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,True,RJ,SUDESTE
350210,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
350270,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
350330,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
350410,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
350520,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,SP,SUDESTE
350530,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,False,SP,SUDESTE
350570,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
350635,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
351380,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
